timeindex;input;cmp_Q;output;exp_Q;cas_Pi_o;cmp_m;exp_m
2030-01-03 15:00:00;0.0;;50.0;58.7328399272329;31.968811974797354;0.0;51.28658294178168
2030-01-03 16:00:00;0.0;;50.0;58.73285345134138;31.966212904596524;0.0;51.28678968340274
2030-01-03 17:00:00;0.0;;50.0;58.73286697550437;31.963613823918575;0.0;51.28699642585719
2030-01-03 18:00:00;0.0;;50.0;58.73288049972189;31.961014732763346;0.0;51.28720316914505
2030-01-03 19:00:00;0.0;;50.0;58.73289402399392;31.958415631130997;0.0;51.28740991326631
2030-01-03 20:00:00;0.0;;50.0;58.73290754832047;31.955816519021372;0.0;51.28761665822098
2030-01-03 21:00:00;0.0;;50.0;58.73292107270154;31.953217396434468;0.0;51.28782340400906
2030-01-03 22:00:00;0.0;;50.0;58.73293459713712;31.950618263370206;0.0;51.288030150630554
2030-01-03 23:00:00;0.0;;50.0;58.732948121627224;31.948019119828512;0.0;51.288236898085465
2030-01-04 00:00:00;0.0;;50.0;58.732961646171844;31.94541996580946;0.0;51.2884436463738
2030-01-04 01:00:00;0.0;;50.0;58.732975170770985;31.942820801312976;0.0;51.28865039549555
2030-01-04 02:00:00;0.0;;50.0;58.732988695424645;31.940221626339056;0.0;51.28885714545073
2030-01-04 03:00:00;0.0;;50.0;58.733002220132825;31.937622440887544;0.0;51.289063896239334
2030-01-04 04:00:00;0.0;;50.0;58.73301574489552;31.93502324495844;0.0;51.28927064786138
2030-01-04 05:00:00;0.0;;50.0;58.73302926971274;31.932424038551666;0.0;51.28947740031686
2030-01-04 06:00:00;0.0;;50.0;58.73304279458448;31.929824821667143;0.0;51.28968415360579
2030-01-04 07:00:00;0.0;;50.0;58.73305631951074;31.927225594305032;0.0;51.28989090772816
2030-01-04 08:00:00;0.0;;50.0;58.73306984449151;31.92462635646517;0.0;51.29009766268397
2030-01-04 09:00:00;0.0;;0.0;0.0;31.92462635646517;0.0;0.0
2030-01-04 10:00:00;0.0;;0.0;0.0;31.92462635646517;0.0;0.0
2030-01-04 11:00:00;0.0;;0.0;0.0;31.92462635646517;0.0;0.0
2030-01-04 12:00:00;0.0;;0.0;0.0;31.92462635646517;0.0;0.0
2030-01-04 13:00:00;0.0;;0.0;0.0;31.92462635646517;0.0;0.0
2030-01-04 14:00:00;0.0;;50.0;58.73308336952681;31.922027108147482;0.0;51.290304418473234
2030-01-04 15:00:00;0.0;;50.0;58.73309689461663;31.919427849351965;0.0;51.29051117509595
2030-01-04 16:00:00;0.0;;50.0;58.733110419760976;31.916828580078548;0.0;51.29071793255213
2030-01-04 17:00:00;0.0;;50.0;58.733123944959836;31.91422930032722;0.0;51.29092469084176
2030-01-04 18:00:00;0.0;;50.0;58.73313747021322;31.911630010097756;0.0;51.29113144996487
2030-01-04 19:00:00;0.0;;50.0;58.73315099552113;31.909030709390386;0.0;51.29133820992145
2030-01-04 20:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-04 21:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-04 22:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-04 23:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 00:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 01:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 02:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 03:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 04:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 05:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 06:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 07:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 08:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 09:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 10:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 11:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 12:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 13:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 14:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 15:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 16:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 17:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 18:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 19:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 20:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 21:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 22:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-05 23:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 00:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 01:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 02:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 03:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 04:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 05:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 06:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 07:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 08:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 09:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 10:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 11:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 12:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 13:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 14:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 15:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 16:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 17:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 18:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 19:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 20:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 21:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 22:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-06 23:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 00:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 01:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 02:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 03:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 04:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 05:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 06:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 07:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 08:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 09:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 10:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 11:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 12:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 13:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 14:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 15:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 16:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 17:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 18:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 19:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 20:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 21:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 22:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-07 23:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 00:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 01:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 02:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 03:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 04:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 05:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 06:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 07:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 08:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 09:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 10:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
2030-01-08 11:00:00;0.0;;0.0;0.0;31.909030709390386;0.0;0.0
