timeindex;input;cmp_Q;output;exp_Q;cas_Pi_o;cmp_m;exp_m
2030-03-27 13:00:00;49.99999999999999;;0.0;0.0;29.419115883573095;96.85730592375629;0.0
2030-03-27 14:00:00;50.0;;0.0;0.0;29.424024260392116;96.8557484625742;0.0
2030-03-27 15:00:00;0.0;;0.0;0.0;29.424024260392116;0.0;0.0
2030-03-27 16:00:00;0.0;;49.99999999999999;58.74609515748213;29.42141493188385;0.0;51.489214249684764
2030-03-27 17:00:00;0.0;;49.99999999999999;58.746108735023846;29.418805592857105;0.0;51.489421808133976
2030-03-27 18:00:00;0.0;;50.0;58.746122312620294;29.41619624331184;0.0;51.48962936741988
2030-03-27 19:00:00;0.0;;49.99999999999999;58.74613589027146;29.413586883248016;0.0;51.48983692754247
2030-03-27 20:00:00;0.0;;50.0;58.74614946797737;29.410977512665582;0.0;51.490044488501766
2030-03-27 21:00:00;0.0;;49.99999999999999;58.746163045738;29.4083681315645;0.0;51.490252050297755
2030-03-27 22:00:00;0.0;;50.0;58.74617662355338;29.405758739944726;0.0;51.49045961293045
2030-03-27 23:00:00;0.0;;0.0;0.0;29.405758739944726;0.0;0.0
2030-03-28 00:00:00;0.0;;0.0;0.0;29.405758739944726;0.0;0.0
2030-03-28 01:00:00;0.0;;0.0;0.0;29.405758739944726;0.0;0.0
2030-03-28 02:00:00;0.0;;0.0;0.0;29.405758739944726;0.0;0.0
2030-03-28 03:00:00;0.0;;50.0;58.74619020142349;29.403149337806223;0.0;51.49066717639985
2030-03-28 04:00:00;0.0;;50.0;58.746203779348335;29.40053992514894;0.0;51.49087474070596
2030-03-28 05:00:00;0.0;;49.99999999999999;58.7462173573279;29.397930501972844;0.0;51.491082305848785
2030-03-28 06:00:00;0.0;;50.0;58.74623093536221;29.395321068277884;0.0;51.491289871828336
2030-03-28 07:00:00;0.0;;50.0;58.74624451345126;29.392711624064024;0.0;51.49149743864459
2030-03-28 08:00:00;0.0;;50.0;58.74625809159504;29.39010216933122;0.0;51.49170500629758
2030-03-28 09:00:00;0.0;;0.0;0.0;29.39010216933122;0.0;0.0
2030-03-28 10:00:00;49.99999999999999;;0.0;0.0;29.395011012689483;96.86495456241731;0.0
2030-03-28 11:00:00;49.99999999999999;;0.0;0.0;29.39991977711376;96.86339697824545;0.0
2030-03-28 12:00:00;49.99999999999999;;0.0;0.0;29.404828462605323;96.86183941911945;0.0
2030-03-28 13:00:00;49.999999999967905;;0.0;0.0;29.409737069165438;96.86028188496886;0.0
2030-03-28 14:00:00;0.0;;0.0;0.0;29.409737069165438;0.0;0.0
2030-03-28 15:00:00;0.0;;50.0;58.74616950033861;29.407127683063997;0.0;51.49035072109693
2030-03-28 16:00:00;0.0;;49.99999999999999;58.746183078179996;29.40451828644385;0.0;51.490558284127374
2030-03-28 17:00:00;0.0;;50.0;58.74619665607613;29.401908879304948;0.0;51.49076584799454
2030-03-28 18:00:00;0.0;;50.0;58.74621023402699;29.39929946164725;0.0;51.4909734126984
2030-03-28 19:00:00;0.0;;50.0;58.74622381203258;29.396690033470712;0.0;51.49118097823899
2030-03-28 20:00:00;0.0;;50.0;58.746237390092915;29.394080594775296;0.0;51.491388544616285
2030-03-28 21:00:00;0.0;;50.0;58.746250968207974;29.391471145560963;0.0;51.49159611183031
2030-03-28 22:00:00;0.0;;49.99999999999999;58.746264546377766;29.38886168582766;0.0;51.49180367988105
