label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set
turbine hp;Turbine;['power output'];[None];[-15788516.993362939];['0x0000028DB6840F10'];['component'];['eta_s'];['eta_s_char'];nan;False;False;-15788516.993362939;False;False;0.8500000000013622;True;False;0x0000028DB67E97C0;False;m;0.15707152141839828;False;False;nan;False
turbine lp;Turbine;['power output'];[None];[-35757874.75921439];['0x0000028DB6840EB0'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-35757874.75921439;False;False;0.9000000000004872;True;False;0x0000028DB67763D0;False;m;0.10659057437407958;False;False;nan;False
