label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map_eta_s;char_map_eta_s_set;char_map_eta_s_param;char_map_eta_s_group;char_map_pr;char_map_pr_set;char_map_pr_param;char_map_pr_group
compressor stage 1;Compressor;['power input'];[None];[18129531.936446518];['0x0000028DB67E9700'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;17585645.97835312;False;False;0.9200000000000056;True;False;0x0000028DB674E610;False;m;5.0;True;False;0;False;False;0x0000028DB674E4F0;False;nan;default;0x0000028DB674E3A0;False;nan;default
compressor stage 2;Compressor;['power input'];[None];[18488286.94547818];['0x0000028DB67E9100'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;17933638.33711383;False;False;0.9199999999999756;True;False;0x0000028DB674E160;False;m;5.0;True;False;0;False;False;0x0000028DB674E250;False;nan;default;0x0000028DB674E190;False;nan;default
compressor stage 3;Compressor;['power input'];[None];[13382181.118075324];['0x0000028DB67E9A90'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;12980715.684533063;False;False;0.8499999999999928;True;False;0x0000028DB674E100;False;m;3.149848961514926;False;False;0;False;False;0x0000028DB674E400;False;nan;default;0x0000028DB674E070;False;nan;default
