label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;cone;cone_set
turbine hp;Turbine;['power output'];[None];[-15788517.041927869];['0x000001BEE5E6FC10'];['component'];['eta_s'];['eta_s_char'];nan;False;False;-15788517.041927869;False;False;0.8500000000013579;True;False;0x000001BEE5DBA490;False;m;0.1570715214178981;False;False;nan;False
turbine lp;Turbine;['power output'];[None];[-35757874.71064946];['0x000001BEE5E6FD60'];['component'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-35757874.71064946;False;False;0.900000000000485;True;False;0x000001BEE5E474F0;False;m;0.10659057437407958;False;False;nan;False
